year,total_goals
1872,0.0
1873,6.0
1874,3.0
1875,4.0
1876,3.5
1877,3.0
1878,9.0
1879,5.0
1880,6.666666666666667
1881,4.666666666666667
1882,8.0
1883,4.4
1884,5.0
1885,5.428571428571429
1886,5.285714285714286
1887,4.666666666666667
1888,7.142857142857143
1889,4.666666666666667
1890,5.5
1891,5.666666666666667
1892,3.8333333333333335
1893,7.0
1894,4.833333333333333
1895,4.333333333333333
1896,5.333333333333333
1897,5.0
1898,3.8333333333333335
1899,6.5
1900,3.5
1901,4.5
1902,3.875
1903,3.4
1904,3.5555555555555554
1905,3.0714285714285716
1906,3.625
1907,3.7333333333333334
1908,5.178571428571429
1909,4.590909090909091
1910,4.214285714285714
1911,4.057142857142857
1912,4.857142857142857
1913,3.9210526315789473
1914,3.727272727272727
1915,4.055555555555555
1916,3.5172413793103448
1917,4.666666666666667
1918,2.823529411764706
1919,3.945945945945946
1920,3.054054054054054
1921,3.288135593220339
1922,3.2285714285714286
1923,3.6315789473684212
1924,3.6
1925,3.3636363636363638
1926,4.597701149425287
1927,4.423529411764706
1928,4.363636363636363
1929,4.535714285714286
1930,4.663793103448276
1931,4.222222222222222
1932,3.924731182795699
1933,4.0
1934,4.7844827586206895
1935,4.0
1936,4.564705882352941
1937,4.322314049586777
1938,4.3355263157894735
1939,4.264367816091954
1940,4.385964912280702
1941,4.5
1942,4.2105263157894735
1943,4.542857142857143
1944,4.066666666666666
1945,4.890625
1946,4.869565217391305
1947,4.2695035460992905
1948,3.7265625
1949,4.281045751633987
1950,4.288888888888889
1951,4.273584905660377
1952,4.1525423728813555
1953,3.9157303370786516
1954,4.333333333333333
1955,3.9411764705882355
1956,3.6615384615384614
1957,3.8552036199095023
1958,3.867021276595745
1959,4.048128342245989
1960,4.292035398230088
1961,3.5450643776824036
1962,3.7398373983739837
1963,3.7777777777777777
1964,3.5520833333333335
1965,3.1587743732590527
1966,3.509915014164306
1967,3.210242587601078
1968,3.260586319218241
1969,3.300791556728232
1970,2.902578796561605
1971,3.2450980392156863
1972,3.028639618138425
1973,2.9466119096509242
1974,2.858638743455497
1975,3.042821158690176
1976,2.9825
1977,2.804395604395604
1978,2.846547314578005
1979,3.090293453724605
1980,2.713163064833006
1981,2.8353174603174605
1982,2.6023809523809525
1983,2.6314655172413794
1984,2.588560885608856
1985,2.492512479201331
1986,2.473193473193473
1987,2.4329113924050634
1988,2.2185185185185183
1989,2.3440514469453375
1990,2.367219917012448
1991,2.6181102362204722
1992,2.595
1993,2.8823529411764706
1994,2.7039473684210527
1995,2.838323353293413
1996,2.847072879330944
1997,2.8875413450937155
1998,2.923784494086728
1999,2.841902313624679
2000,2.8278846153846153
2001,3.046556741028128
2002,2.6197916666666665
2003,2.908130939809926
2004,2.912882298424467
2005,2.794776119402985
2006,2.7078384798099764
2007,2.7398785425101213
2008,2.7129881925522255
2009,2.67027027027027
2010,2.5860465116279068
2011,2.7730941704035876
2012,2.8171091445427727
2013,2.6858638743455496
2014,2.6599763872491144
2015,2.726660250240616
2016,2.766050054406964
2017,2.7175324675324677
2018,2.6329386437029063
2019,2.8892763731473408
2020,2.440922190201729
2021,2.758744394618834
2022,2.5149638802889576
2023,2.849146110056926
2024,2.6101973684210527
